"Year","State","Type","Production","Chemical","Materials","Unit","Value"
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",0.169
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",0.031
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",1.262
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",0.654
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",0.889
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG",0.468
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",0.179
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," AVG",0.18
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",2.196
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",0.047
2015,"WASHINGTON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",93
2015,"WASHINGTON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",93
2015,"WASHINGTON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",96
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," AVG",1.1
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYMOXANIL = 129106)"," AVG",1.5
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",1.6
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FAMOXADONE = 113202)"," AVG",1.5
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",1.6
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG",1.6
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",1.5
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",1.3
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",2.3
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",1.2
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",1.7
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," AVG",1.7
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",1.8
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",1.9
2015,"WASHINGTON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",3.1
2015,"WASHINGTON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",2.2
2015,"WASHINGTON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",2.3
